run_id,model_hash,seed,engine,replication,section,dataset,details_truncated,detail_total,detail_retained,id,order,route,source,destination,iid,parts,departure,arrival,received,quantity
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S8,O9,REGION_BASE,REGION,BASE,POWER,"[""POWER#9""]",32.800000000000004,33.300000000000004,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S9,O10,CENTER_REGION,CENTER,REGION,POWER,"[""POWER#4""]",32.800000000000004,33.800000000000004,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S10,O12,REGION_BASE,REGION,BASE,POWER,"[""POWER#10""]",36.6,37.1,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S11,O13,CENTER_REGION,CENTER,REGION,POWER,"[""POWER#11""]",36.6,37.6,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S12,O14,REGION_BASE,REGION,BASE,POWER,"[""POWER#4""]",56.7,57.2,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S13,O15,CENTER_REGION,CENTER,REGION,POWER,"[""POWER#6""]",56.7,57.7,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S14,O16,REGION_BASE,REGION,BASE,POWER,"[""POWER#11""]",60.7,61.2,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S15,O17,CENTER_REGION,CENTER,REGION,POWER,"[""POWER#5""]",60.7,61.7,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S16,O18,REGION_BASE,REGION,BASE,POWER,"[""POWER#6""]",64.69999999999999,65.19999999999999,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,6,supply,shipments,False,17,17,S17,O19,CENTER_REGION,CENTER,REGION,POWER,"[""POWER#12""]",64.69999999999999,65.69999999999999,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,7,supply,shipments,False,13,13,S1,O1,REGION_BASE,REGION,BASE,POWER,"[""POWER#1""]",0,0.5,True,1
lifecycle,e70960269eec88da76c7fc94e6e135d06a464be3b3c58017f568e3e26a79d27a,20260916,0.11.0,7,supply,shipments,False,13,13,S2,O1,CENTER_BASE,CENTER,BASE,POWER,"[""POWER#2""]",0,1.5,True,1
