方案,可用度,设备小时满足率,最低保障达标率,窗口合格率,缺口设备小时,重点窗口合格率
现状,0.9474821810952838,0.971737063507589,0.9400801218127333,0.908333333333333,115.31278088903652,0.855
补位准备30→15分钟,0.9466999921222581,0.9732504335585109,0.9387532445401311,0.9093333333333331,109.13823108127534,0.8579999999999999
维修站人员与工位各2→4,0.989939713225724,0.9930154085450846,0.9985501499771031,0.9941666666666665,28.49713313605424,0.9906666666666665
补位提速＋维修站扩容,0.9897571829676312,0.9954920443188157,0.9989304596899857,0.9956666666666668,18.39245917923238,0.9926666666666666
