run_id,model_hash,seed,engine,replication,id,start,end,quantity,demand_hours,supplied_hours,gap_hours,full_window_rate,minimum,priority,relief_hours,tolerance_hours,minimum_rate,qualified_rate,below_hours,longest_below_hours,flight_prep_hours,out_fraction,return_fraction,success_fraction,success_point,started_rate,success_rate,successful_aircraft_sorties,completed_rate,aborted_rate,cancelled_rate,out_aircraft_hours,on_station_aircraft_hours,return_aircraft_hours,abort_return_aircraft_hours
1bdfd29f40734575b7fc3ebd121c11b2,23cd299585d03710fe98366856dd6d01acacd6bbc8c5d6c041c314f206b785c2,20260908,0.7.0,,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,5.806055534726511,0.19394446527348957,0.938,2,1,0.0,0.0,0.9676759224544184,0.938,0.09697223263674479,0.09697223263674479,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,11.5,1.0,0.95,1.9,0.938,0.062,0.0,0.994185083807524,3.867946056107554,0.994185083807524,0.05026068899609161
1bdfd29f40734575b7fc3ebd121c11b2,23cd299585d03710fe98366856dd6d01acacd6bbc8c5d6c041c314f206b785c2,20260908,0.7.0,,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,5.83479897330615,0.1652010266938499,0.944,2,1,0.0,0.0,0.972466495551025,0.944,0.08260051334692495,0.08260051334692495,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,14.5,1.0,0.953,1.906,0.944,0.056,0.0,0.9955660641436482,3.8897626272685586,0.9955660641436482,0.04609578224970425
1bdfd29f40734575b7fc3ebd121c11b2,23cd299585d03710fe98366856dd6d01acacd6bbc8c5d6c041c314f206b785c2,20260908,0.7.0,,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,5.796019894618272,0.20398010538172776,0.937,2,1,0.0,0.0,0.9660033157697121,0.937,0.10199005269086388,0.10199005269086388,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,17.5,0.989,0.944,1.888,0.937,0.052,0.011,0.9877375605528055,3.8677923938582337,0.9877375605528055,0.04724762034557175
1bdfd29f40734575b7fc3ebd121c11b2,23cd299585d03710fe98366856dd6d01acacd6bbc8c5d6c041c314f206b785c2,20260908,0.7.0,,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,33.0,36.0,2,6.0,5.811031216957563,0.18896878304243694,0.932,2,1,0.0,0.0,0.9685052028262605,0.932,0.09448439152121847,0.09448439152121847,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,35.5,1.0,0.943,1.886,0.932,0.068,0.0,0.9956847381818895,3.8769898539223013,0.9956847381818895,0.05732811332851766
1bdfd29f40734575b7fc3ebd121c11b2,23cd299585d03710fe98366856dd6d01acacd6bbc8c5d6c041c314f206b785c2,20260908,0.7.0,,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,36.0,39.0,2,6.0,5.801221174096033,0.1987788259039672,0.941,2,1,0.0,0.0,0.9668701956826722,0.941,0.0993894129519836,0.0993894129519836,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,38.5,1.0,0.946,1.892,0.941,0.059,0.0,0.9959748885101608,3.862883470032265,0.9959748885101608,0.053612072956553944
1bdfd29f40734575b7fc3ebd121c11b2,23cd299585d03710fe98366856dd6d01acacd6bbc8c5d6c041c314f206b785c2,20260908,0.7.0,,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,39.0,42.0,2,6.0,5.7938963765469405,0.2061036234530593,0.946,2,1,0.0,0.0,0.9656493960911567,0.946,0.10305181172652965,0.10305181172652965,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,41.5,0.992,0.949,1.898,0.946,0.046,0.008,0.9897807337235901,3.855809005726233,0.9897807337235901,0.0414740966264725
1bdfd29f40734575b7fc3ebd121c11b2,23cd299585d03710fe98366856dd6d01acacd6bbc8c5d6c041c314f206b785c2,20260908,0.7.0,,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,57.0,60.0,2,6.0,5.842998469810154,0.15700153018984514,0.942,2,1,0.0,0.0,0.9738330783016924,0.942,0.07850076509492257,0.07850076509492257,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,59.5,1.0,0.961,1.922,0.942,0.058,0.0,0.9952811569376909,3.898484217147622,0.9952811569376909,0.046048061212849274
1bdfd29f40734575b7fc3ebd121c11b2,23cd299585d03710fe98366856dd6d01acacd6bbc8c5d6c041c314f206b785c2,20260908,0.7.0,,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,60.0,63.0,2,6.0,5.736295025503136,0.2637049744968645,0.922,2,1,0.0,0.0,0.9560491709171892,0.922,0.13185248724843224,0.13185248724843224,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,62.5,1.0,0.933,1.866,0.922,0.078,0.0,0.9885821359466711,3.821862119847889,0.9885821359466711,0.06273136623809523
1bdfd29f40734575b7fc3ebd121c11b2,23cd299585d03710fe98366856dd6d01acacd6bbc8c5d6c041c314f206b785c2,20260908,0.7.0,,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,63.0,66.0,2,6.0,5.770994739926538,0.22900526007346264,0.936,2,1,0.0,0.0,0.961832456654423,0.936,0.11450263003673132,0.11450263003673132,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,65.5,0.988,0.942,1.884,0.936,0.052,0.012,0.9837263487498291,3.8471600983471363,0.9837263487498291,0.04361805592025706
