replication,availability,failures,effective_supply_aircraft_hours,fulfillment,requested,started,completed,aborted,cancelled,aircraft_sorties,completed_aircraft_sorties,preparation_aircraft_hours,ready_aircraft_hours,all_completed,out_aircraft_hours,on_station_aircraft_hours,return_aircraft_hours,abort_return_aircraft_hours,successful,requested_aircraft_sorties,successful_aircraft_sorties,started_rate,success_rate,completion_rate,all_successful
26,0.9686391625294978,1,27.013609622351638,0.5002520300435488,9,5,4,1,4,10,8,8.0,86.97042978189604,0,5.0,18.013609622351638,5.0,1.0,4,18,8,0.5555555555555556,0.4444444444444444,0.4444444444444444,0
27,0.9890665557206526,1,33.156043690522125,0.6140008090837431,9,6,5,1,3,12,10,9.0,82.76954033325184,0,6.0,22.156043690522125,6.0,1.0,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
28,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
29,0.9951994860955689,1,35.92500341858319,0.6652778410848739,9,6,5,1,3,12,10,9.0,81.34622428847032,0,6.0,24.0,6.0,0.07499658141681209,6,18,12,0.6666666666666666,0.6666666666666666,0.5555555555555556,0
30,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
31,0.9770544051105742,1,35.311977749963646,0.6539255138882156,9,6,5,1,3,12,10,9.0,79.03984546094085,0,6.0,24.0,6.0,0.6880222500363544,6,18,12,0.6666666666666666,0.6666666666666666,0.5555555555555556,0
32,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
33,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
34,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
35,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
36,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
37,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
38,0.9880810977106754,1,31.44395284194013,0.5822954229988914,9,6,5,1,3,12,10,9.0,84.33972522839714,0,6.0,20.44395284194013,6.0,1.0,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
39,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
40,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
41,0.9601571146480153,2,31.697472604775626,0.5869902334217708,9,6,4,2,3,12,8,9.0,79.56515190453857,0,6.0,21.697472604775626,6.0,2.0,4,18,8,0.6666666666666666,0.4444444444444444,0.4444444444444444,0
42,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
43,0.970865003147149,2,29.623827137191682,0.5485893914294756,9,6,4,2,3,12,8,9.0,83.18073331599777,0,6.0,19.623827137191682,6.0,2.0,4,18,8,0.6666666666666666,0.4444444444444444,0.4444444444444444,0
44,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
45,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
46,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
47,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
48,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
49,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
50,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
51,0.9838647943072822,1,30.86660553145792,0.5716038061381097,9,6,5,1,3,12,10,9.0,84.37662208306176,0,5.866605531457921,20.0,5.866605531457921,0.8666055314579211,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
52,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
53,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
54,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
55,0.9870810290698638,2,35.18075343501616,0.6514954339817807,9,6,4,2,3,12,8,9.0,80.54929146855231,0,6.0,24.0,6.0,0.8192465649838425,6,18,12,0.6666666666666666,0.6666666666666666,0.4444444444444444,0
56,0.9941769913573051,1,31.93560447726979,0.5914000829124035,9,6,5,1,3,12,10,9.0,84.72588227818214,0,6.0,20.93560447726979,6.0,1.0,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
57,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
58,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
59,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
60,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
61,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
62,0.9944443769085041,1,30.118118369781513,0.5577429327737318,9,6,5,1,3,12,10,9.0,87.0228127201523,0,5.118118369781513,20.0,5.118118369781513,0.11811836978151291,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
63,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
64,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
65,0.9940198391973318,1,30.538114554365904,0.5655206398956649,9,6,5,1,3,12,10,9.0,86.33168501286693,0,5.5381145543659045,20.0,5.5381145543659045,0.5381145543659045,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
